CandID,RaceID,Cat1,Cat2,Cat3,Cat4,Candidate,Incumbent,Referendum,VotesTotal,PrecTotal,RepTotal
2,1,Nation,President,,"(Democrat) Vote for 1, 4-year term",Hilary Clinton,,,0,0,0
5,1,Nation,President,,"(Democrat) Vote for 1, 4-year term",Bernie Sanders,,,0,0,0
372,1,Nation,President,,"(Democrat) Vote for 1, 4-year term",Martin J. O'Malley,,,0,0,0
381,2,Nation,President,,"(Republican) Vote for 1, 4-year term",Rick Santorum,,,0,10448,0
380,2,Nation,President,,"(Republican) Vote for 1, 4-year term",Mike Huckabee,,,0,10448,0
379,2,Nation,President,,"(Republican) Vote for 1, 4-year term",Carly Fiorina,,,0,10448,0
378,2,Nation,President,,"(Republican) Vote for 1, 4-year term",Rand Paul,,,0,10448,0
377,2,Nation,President,,"(Republican) Vote for 1, 4-year term",Ted Cruz,,,0,10448,0
376,2,Nation,President,,"(Republican) Vote for 1, 4-year term",Jeb Bush,,,0,10448,0
375,2,Nation,President,,"(Republican) Vote for 1, 4-year term",Marco Rubio,,,0,10448,0
374,2,Nation,President,,"(Republican) Vote for 1, 4-year term",Donald J. Trump,,,0,10448,0
373,2,Nation,President,,"(Republican) Vote for 1, 4-year term",Chris Christie,,,0,10448,0
382,2,Nation,President,,"(Republican) Vote for 1, 4-year term",John R. Kasich,,,0,10448,0
383,2,Nation,President,,"(Republican) Vote for 1, 4-year term",Ben Carson,,,0,10448,0
34,16,Statewide,Comptroller,,"(Democrat) Vote for 1, 4-year term",Susana Mendoza,,,0,0,0
33,17,Statewide,Comptroller,,"(Republican) Vote for 1, 4-year term",Leslie Munger,*,,0,0,0
32,22,Congress,U.S. Senate,,(Democrat) 6-year term,Napoleon Harris,,,0,0,0
31,22,Congress,U.S. Senate,,(Democrat) 6-year term,Andrea Zopp,,,0,0,0
30,22,Congress,U.S. Senate,,(Democrat) 6-year term,Tammy Duckworth,,,0,0,0
312,23,Congress,U.S. Senate,,(Republican) 6-year term,Elizabeth Diane Pahlke,,,0,0,0
29,23,Congress,U.S. Senate,,(Republican) 6-year term,James Marter,,,0,0,0
28,23,Congress,U.S. Senate,,(Republican) 6-year term,Mark Kirk,*,,0,0,0
38,28,Congress,U.S. Representative,5th District,"(Democrat) Vote for 1, 2-year term",Mike Quigley,*,,0,0,0
279,30,Congress,U.S. Representative,5th District,(Green) 2-year term,Rob Sherman,,,0,0,0
280,30,Congress,U.S. Representative,5th District,(Green) 2-year term,Warren Grimsely,,,0,0,0
259,31,Congress,U.S. Representative,6th District,"(Democrat) Vote for 1, 2-year term",Amanda Howland,,,0,0,0
37,31,Congress,U.S. Representative,6th District,"(Democrat) Vote for 1, 2-year term",Robert Marshall,,,0,0,0
36,32,Congress,U.S. Representative,6th District,"(Republican) Vote for 1, 2-year term",Gordon Kinzler,,,0,0,0
35,32,Congress,U.S. Representative,6th District,"(Republican) Vote for 1, 2-year term",Peter Roskam,*,,0,0,0
310,34,Congress,U.S. Representative,8th District,"(Democrat) Vote for 1, 2-year term",Deborah Bullwinkel,,,0,0,0
39,34,Congress,U.S. Representative,8th District,"(Democrat) Vote for 1, 2-year term",Michael Noland,,,0,0,0
40,34,Congress,U.S. Representative,8th District,"(Democrat) Vote for 1, 2-year term",Raja Krishnamoorthi,,,0,0,0
41,35,Congress,U.S. Representative,8th District,"(Republican) Vote for 1, 2-year term",Peter DiCianni,,,0,0,0
42,37,Congress,U.S. Representative,9th District,"(Democrat) Vote for 1, 2-year term",Jan Schakowsky,*,,0,0,0
43,38,Congress,U.S. Representative,9th District,"(Republican) Vote for 1, 2-year term",David Earl Williams III,,,0,0,0
45,38,Congress,U.S. Representative,9th District,"(Republican) Vote for 1, 2-year term",Joan McCarthy Lasonde,,,0,0,0
46,40,Congress,U.S. Representative,10th District,"(Democrat) Vote for 1, 2-year term",Brad Schneider,,,0,0,0
47,40,Congress,U.S. Representative,10th District,"(Democrat) Vote for 1, 2-year term",Nancy Rotering,,,0,0,0
