id,TOWN,Registration,Hotel,Transit,Food,Other,Total,Staff,Elected
1,Round Lake Beach,"$3,015.00","$7,484.68",$0.00,$0.00,"$2,356.48","$12,856.16",1,7
2,Lake in the Hills,"$2,790.00","$7,156.80","$1,101.30",$23.40,$0.00,"$11,071.50",2,7
3,Round Lake,"$1,910.00","$6,002.23",$544.50,$714.13,$0.00,"$9,170.86",1,5
4,Addison,"$1,860.00","$5,968.60",$55.84,$796.11,$0.00,"$8,680.55",0,6
5,Hanover Park,"$2,335.00","$2,905.69",$451.50,"$1,324.90","$1,441.52","$8,458.61",2,7
6,Wood Dale,"$1,735.00","$5,069.40",$440.00,$0.00,$634.00,"$7,878.40",0,6
7,Green Oaks,"$1,590.00","$4,916.80",$399.50,$0.00,$0.00,"$6,906.30",1,5
8,Round Lake Heights,"$1,155.00","$5,742.00",$0.00,$0.00,$0.00,"$6,897.00",0,7
9,Round Lake Park,"$1,240.00","$3,818.83",$672.70,$955.23,$0.00,"$6,686.76",0,4
10,Aurora,"$3,265.00","$2,039.36",$402.34,$137.70,$0.00,"$5,844.40",5,6
11,Mundelein,$930.00,"$2,190.57",$362.72,$18.75,$6.00,"$3,508.04",0,3
12,Vernon Hills,$930.00,"$1,789.20",$349.75,$146.03,$0.00,"$3,214.98",1,2
13,Bensenville,"$1,110.00","$1,192.80",$180.00,$334.75,$0.00,"$2,817.55",1,3
14,Libertyville,"$1,240.00","$1,192.80",$109.75,$0.00,$0.00,"$2,542.55",1,3
15,Barrington,"$2,125.00",$0.00,$32.00,$6.90,$0.00,"$2,163.90",4,3
16,Sugar Grove,$620.00,"$1,215.12",$157.50,$55.11,$0.00,"$2,047.73",0,2
17,Warrenville,$620.00,"$1,192.80",$120.00,$0.00,$0.00,"$1,932.80",0,2
18,Fox Lake,"$1,080.00",$298.20,$120.00,$145.93,$0.00,"$1,644.13",2,4
19,Wauconda,$620.00,$596.40,$182.10,$23.62,$0.00,"$1,422.12",1,1
20,Schaumburg,$310.00,$894.60,$0.00,$0.00,$1.50,"$1,206.10",0,1
21,Antioch,$310.00,$756.66,$28.00,$57.11,$0.00,"$1,151.77",2,0
22,South Barrington,$950.00,$0.00,$200.67,$0.00,$0.00,"$1,150.67",3,1
23,Kildeer,$835.00,$0.00,$260.94,$0.00,$0.00,"$1,095.94",1,2
24,Cary,$820.00,$0.00,$105.25,$0.00,$0.00,$925.25,1,2
25,Port Barrington,$495.00,$291.30,$54.50,$64.63,$0.00,$905.43,1,2
26,Bartlett,$665.00,$0.00,$32.00,$0.00,$0.00,$697.00,2,1
27,Carpentersville,$330.00,$298.20,$52.50,$0.00,$0.00,$680.70,0,1
28,Des Plaines,$310.00,$298.20,$52.50,$0.00,$0.00,$660.70,0,1
29,Winfield,$475.00,$0.00,$102.40,$34.00,$0.00,$611.40,0,2
30,Geneva,$0.00,$298.20,$52.50,$12.50,$0.00,$363.20,0,1
31,Hampshire,$310.00,$0.00,$43.20,$0.00,$0.00,$353.20,0,1
32,Villa Park,$310.00,$0.00,$28.00,$0.00,$0.00,$338.00,0,1
33,Algonquin,$330.00,$0.00,$0.00,$0.00,$0.00,$330.00,1,0
34,Deer Park,$330.00,$0.00,$0.00,$0.00,$0.00,$330.00,0,1
35,Hawthorn Woods,$330.00,$0.00,$0.00,$0.00,$0.00,$330.00,0,2
36,Lake Zurich,$190.00,$0.00,$39.00,$0.00,$0.00,$229.00,1,1
37,Barrington Hills,$155.00,$0.00,$72.73,$0.00,$0.00,$227.73,1,0
38,St. Charles,$165.00,$0.00,$60.24,$0.00,$0.00,$225.24,1,0
39,Gilberts,$165.00,$0.00,$39.00,$8.68,$0.00,$212.68,1,0
40,Roselle,$165.00,$0.00,$39.05,$5.74,$0.00,$209.79,0,1
41,Arlington Heights,$165.00,$0.00,$13.00,$15.00,$0.00,$193.00,1,0
42,Bloomingdale,$180.00,$0.00,$0.00,$0.00,$0.00,$180.00,1,0
43,Lisle,$165.00,$0.00,$14.00,$0.00,$0.00,$179.00,1,0
44,Downers Grove,$165.00,$0.00,$0.00,$0.00,$0.00,$165.00,1,0
45,Glen Ellyn,$165.00,$0.00,$0.00,$0.00,$0.00,$165.00,1,0
46,Lombard,$165.00,$0.00,$0.00,$0.00,$0.00,$165.00,0,1
47,Prospect Heights,$165.00,$0.00,$0.00,$0.00,$0.00,$165.00,1,0
48,Rosemont,$165.00,$0.00,$0.00,$0.00,$0.00,$165.00,0,1
49,Lincolnshire,$0.00,$0.00,$31.00,$10.00,$0.00,$41.00,1,0
50,Naperville,$0.00,$0.00,$35.50,$0.00,$0.00,$35.50,1,0
