id,GEOID10,Town,cycle_total_2012,cycle_fatal_2012,cycle_inj_2012,ped_total_2012,ped_fatal_2012,ped_inj_2012,total_crashes_2012,total_inj_2012,total_fatal_2012,pop_2012,cycle_rate_2012,ped_rate_2012,total_rate_2012,cycle_total_2013,cycle_fatal_2013,cycle_inj_2013,ped_total_2013,ped_fatal_2013,ped_inj_2013,total_crashes_2013,total_inj_2013,total_fatal_2013,pop_2013,cycle_rate_2013,ped_rate_2013,total_rate_2013,cycle_total_2014,cycle_fatal_2014,cycle_inj_2014,ped_total_2014,ped_fatal_2014,ped_inj_2014,total_crashes_2014,total_inj_2014,total_fatal_2014,pop_2014,cycle_rate_2014,ped_rate_2014,total_rate_2014,cycle_total_2015,cycle_fatal_2015,cycle_inj_2015,ped_total_2015,ped_fatal_2015,ped_inj_2015,total_crashes_2015,total_inj_2015,total_fatal_2015,pop_2015,cycle_rate_2015,ped_rate_2015,total_rate_2015,total_crashes,total_inj,total_fatal
1,1714000,Chicago,1597,8,1495,2867,46,2750,4464,4245,54,2702471,0.59,1.06,1.65,1730,3,1574,2796,28,2622,4526,4196,31,2706101,0.64,1.03,1.67,1654,6,1525,2655,35,2483,4309,4008,41,2712608,0.61,0.98,1.59,1737,8,1659,2921,44,2727,4658,4386,52,2717534,0.64,1.07,1.71,17957,16835,178
2,1724582,Evanston,53,0,49,59,1,57,112,106,1,74619,0.71,0.79,1.5,62,0,60,54,0,54,116,114,0,74937,0.83,0.72,1.55,48,1,46,44,1,41,92,87,2,75282,0.64,0.58,1.22,55,0,55,47,1,45,102,100,1,75603,0.73,0.62,1.35,422,407,4
3,1703012,Aurora,46,0,45,52,0,52,98,97,0,196569,0.23,0.26,0.5,39,0,39,50,3,46,89,85,3,198726,0.2,0.25,0.45,44,1,43,57,3,53,101,96,4,199878,0.22,0.29,0.51,33,1,31,50,0,49,83,80,1,200614,0.16,0.25,0.41,371,358,8
4,1714351,Cicero,22,1,19,52,2,48,74,67,3,83756,0.26,0.62,0.88,38,0,35,46,1,39,84,74,1,83930,0.45,0.55,1,27,0,27,47,0,45,74,72,0,84423,0.32,0.56,0.88,36,0,36,53,0,51,89,87,0,84361,0.43,0.63,1.05,321,300,4
5,1738570,Joliet,29,0,27,45,1,43,74,70,1,147098,0.2,0.31,0.5,41,0,41,32,0,31,73,72,0,147459,0.28,0.22,0.5,28,0,27,41,2,38,69,65,2,147786,0.19,0.28,0.47,28,1,27,39,1,37,67,64,2,147918,0.19,0.26,0.45,283,271,5
6,1705573,Berwyn,32,0,31,22,0,20,54,51,0,56376,0.57,0.39,0.96,41,0,39,30,0,29,71,68,0,56626,0.72,0.53,1.25,33,1,30,37,0,36,70,66,1,56762,0.58,0.65,1.23,23,0,23,44,0,44,67,67,0,56706,0.41,0.78,1.18,262,252,1
7,1754885,Oak Park,31,0,29,40,0,39,71,68,0,51781,0.6,0.77,1.37,28,1,25,36,0,34,64,59,1,51902,0.54,0.69,1.23,22,0,21,37,0,37,59,58,0,51988,0.42,0.71,1.13,22,0,22,43,0,41,65,63,0,52080,0.42,0.83,1.25,259,248,1
8,1770122,Skokie,26,2,23,22,1,21,48,44,3,64588,0.4,0.34,0.74,43,0,42,28,3,24,71,66,3,64885,0.66,0.43,1.09,29,0,28,30,2,27,59,55,2,65056,0.45,0.46,0.91,33,1,32,29,0,29,62,61,1,65061,0.51,0.45,0.95,240,226,9
9,1723074,Elgin,28,0,28,29,2,26,57,54,2,109513,0.26,0.26,0.52,22,0,21,29,0,28,51,49,0,109825,0.2,0.26,0.46,14,1,13,31,0,30,45,43,1,110906,0.13,0.28,0.41,16,0,15,38,4,33,54,48,4,112105,0.14,0.34,0.48,207,194,7
10,1751622,Naperville,36,0,35,16,0,15,52,50,0,142143,0.25,0.11,0.37,31,1,30,28,0,26,59,56,1,143223,0.22,0.2,0.41,23,0,22,18,1,17,41,39,1,144108,0.16,0.12,0.28,23,0,23,25,0,23,48,46,0,145058,0.16,0.17,0.33,200,191,2
11,1779293,Waukegan,20,0,20,23,0,23,43,43,0,88982,0.22,0.26,0.48,26,0,24,22,2,20,48,44,2,88560,0.29,0.25,0.54,25,1,23,34,3,31,59,54,4,88671,0.28,0.38,0.67,16,1,15,28,0,28,44,43,1,88570,0.18,0.32,0.5,194,184,7
12,,Uninc. Cook County,24,0,23,28,0,25,52,48,0,N/A,N/A,N/A,N/A,23,2,18,25,1,24,48,42,3,N/A,N/A,N/A,N/A,24,0,23,24,5,18,48,41,5,N/A,N/A,N/A,N/A,12,0,12,28,1,25,40,37,1,N/A,N/A,N/A,N/A,188,168,9
13,1719642,Des Plaines,20,0,20,27,2,24,47,44,2,58302,0.34,0.46,0.81,21,1,19,20,1,19,41,38,2,58569,0.36,0.34,0.7,15,0,15,19,1,18,34,33,1,58802,0.26,0.32,0.58,21,1,20,21,3,17,42,37,4,58930,0.36,0.36,0.71,164,152,9
14,1702154,Arlington Heights,18,1,17,9,0,9,27,26,1,75221,0.24,0.12,0.36,13,0,12,16,0,16,29,28,0,75492,0.17,0.21,0.38,24,0,24,14,0,14,38,38,0,75577,0.32,0.19,0.5,16,0,16,15,1,14,31,30,1,75802,0.21,0.2,0.41,125,122,2
15,1733383,Harvey,12,1,11,24,1,22,36,33,2,24959,0.48,0.96,1.44,4,0,4,28,3,24,32,28,3,24771,0.16,1.13,1.29,7,0,7,18,0,17,25,24,0,25225,0.28,0.71,0.99,8,0,8,23,1,21,31,29,1,25773,0.31,0.89,1.2,124,114,6
16,1753000,Niles,12,0,12,15,0,15,27,27,0,29720,0.4,0.5,0.91,15,0,15,18,0,18,33,33,0,29923,0.5,0.6,1.1,6,1,5,13,1,12,19,17,2,29939,0.2,0.43,0.63,9,0,8,22,2,18,31,26,2,29955,0.3,0.73,1.03,110,103,4
17,1754820,Oak Lawn,8,0,6,15,1,14,23,20,1,56524,0.14,0.27,0.41,7,0,6,20,1,19,27,25,1,56765,0.12,0.35,0.48,12,0,12,26,2,24,38,36,2,56969,0.21,0.46,0.67,11,0,11,11,1,10,22,21,1,56980,0.19,0.19,0.39,110,102,5
18,1757875,Park Ridge,13,0,12,10,1,9,23,21,1,37266,0.35,0.27,0.62,19,0,19,7,1,6,26,25,1,37421,0.51,0.19,0.69,15,0,15,17,1,16,32,31,1,37511,0.4,0.45,0.85,10,0,10,17,0,17,27,27,0,37608,0.27,0.45,0.72,108,104,3
19,1729938,Glenview,16,0,15,3,0,3,19,18,0,44478,0.36,0.07,0.43,20,0,20,7,0,7,27,27,0,44863,0.45,0.16,0.6,19,0,19,9,0,9,28,28,0,45400,0.42,0.2,0.62,17,0,17,6,0,6,23,23,0,45969,0.37,0.13,0.5,97,96,0
20,1768003,Schaumburg,17,0,16,10,2,8,27,24,2,74276,0.23,0.13,0.36,16,0,16,6,0,6,22,22,0,74292,0.22,0.08,0.3,15,0,15,5,0,5,20,20,0,74560,0.2,0.07,0.27,16,0,16,11,0,11,27,27,0,74559,0.21,0.15,0.36,96,93,2
21,1714026,Chicago Heights,11,0,11,16,1,15,27,26,1,30328,0.36,0.53,0.89,8,0,8,19,2,17,27,25,2,30340,0.26,0.63,0.89,4,0,4,17,1,16,21,20,1,30410,0.13,0.56,0.69,2,0,2,14,3,10,16,12,3,30428,0.07,0.46,0.53,91,83,7
22,1723620,Elmhurst,13,0,13,6,0,6,19,19,0,44385,0.29,0.14,0.43,10,0,9,16,1,15,26,24,1,44745,0.22,0.36,0.58,15,0,15,12,0,12,27,27,0,45105,0.33,0.27,0.6,10,0,10,9,0,9,19,19,0,45469,0.22,0.2,0.42,91,89,1
23,1707133,Bolingbrook,16,0,14,10,0,8,26,22,0,73383,0.22,0.14,0.35,10,0,10,15,0,15,25,25,0,73799,0.14,0.2,0.34,10,0,9,11,0,11,21,20,0,74112,0.13,0.15,0.28,11,0,11,7,1,6,18,17,1,74371,0.15,0.09,0.24,90,84,1
24,1781048,Wheaton,13,0,12,11,0,11,24,23,0,53155,0.24,0.21,0.45,15,0,14,10,0,9,25,23,0,53245,0.28,0.19,0.47,7,0,7,10,1,9,17,16,1,53406,0.13,0.19,0.32,8,0,8,14,2,12,22,20,2,53585,0.15,0.26,0.41,88,82,3
25,1782075,Wilmette,15,0,12,7,0,7,22,19,0,27202,0.55,0.26,0.81,19,0,19,6,0,5,25,24,0,27268,0.7,0.22,0.92,10,0,10,7,1,6,17,16,1,27345,0.37,0.26,0.62,13,0,13,7,0,6,20,19,0,27420,0.47,0.26,0.73,84,78,1
26,1717887,Crystal Lake,14,1,12,8,0,7,22,19,1,40867,0.34,0.2,0.54,13,0,11,7,0,7,20,18,0,40609,0.32,0.17,0.49,9,0,9,11,0,10,20,19,0,40598,0.22,0.27,0.49,11,0,11,10,1,9,21,20,1,40635,0.27,0.25,0.52,83,76,2
27,1748242,Melrose Park,8,0,8,8,0,8,16,16,0,25241,0.32,0.32,0.63,11,0,11,14,0,14,25,25,0,25393,0.43,0.55,0.98,5,0,5,15,0,14,20,19,0,25514,0.2,0.59,0.78,8,0,8,12,0,11,20,19,0,25491,0.31,0.47,0.78,81,79,0
28,1753377,Norridge,8,0,8,10,0,10,18,18,0,14656,0.55,0.68,1.23,9,0,8,15,0,14,24,22,0,14726,0.61,1.02,1.63,9,1,6,10,0,10,19,16,1,14713,0.61,0.68,1.29,10,0,7,9,0,7,19,14,0,14856,0.67,0.61,1.28,80,70,1
29,1747774,Maywood,8,0,8,11,0,11,19,19,0,24177,0.33,0.45,0.79,7,0,6,14,0,14,21,20,0,24143,0.29,0.58,0.87,9,0,8,7,0,7,16,15,0,24148,0.37,0.29,0.66,11,0,10,13,0,12,24,22,0,24138,0.46,0.54,0.99,80,76,0
30,1751089,Mount Prospect,9,0,9,7,1,6,16,15,1,54144,0.17,0.13,0.3,5,0,5,12,0,12,17,17,0,54436,0.09,0.22,0.31,9,0,8,8,1,7,17,15,1,54589,0.16,0.15,0.31,16,0,16,12,1,9,28,25,1,54710,0.29,0.22,0.51,78,72,3
31,1720591,Downers Grove,11,0,11,9,0,9,20,20,0,48621,0.23,0.19,0.41,5,0,5,11,1,10,16,15,1,48964,0.1,0.22,0.33,13,0,13,10,0,10,23,23,0,49372,0.26,0.2,0.47,8,0,8,11,0,11,19,19,0,49504,0.16,0.22,0.38,78,77,1
32,1710487,Calumet City,7,0,7,15,1,14,22,21,1,37070,0.19,0.4,0.59,2,0,2,21,0,20,23,22,0,37130,0.05,0.57,0.62,5,0,5,15,0,15,20,20,0,37197,0.13,0.4,0.54,4,0,4,9,0,9,13,13,0,37184,0.11,0.24,0.35,78,76,1
33,1708225,Bridgeview,11,0,11,20,2,17,31,28,2,16394,0.67,1.22,1.89,7,0,7,17,0,17,24,24,0,16457,0.43,1.03,1.46,3,0,3,7,0,7,10,10,0,16550,0.18,0.42,0.6,7,0,7,5,0,5,12,12,0,16359,0.43,0.31,0.73,77,74,2
34,1757225,Palatine,14,0,11,13,1,10,27,21,1,68338,0.2,0.19,0.4,5,0,5,11,0,8,16,13,0,68738,0.07,0.16,0.23,8,0,7,5,0,5,13,12,0,69015,0.12,0.07,0.19,9,0,8,12,1,11,21,19,1,69188,0.13,0.17,0.3,77,65,2
