id,District,School,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,PercChg,change,PercChg1617,enrollChg,year1,year2,Note
1,West Chicago Community HS Dist. 94,West Chicago Comm. H.S.,153,136,133,116,122,117,126,119,66,69,-54.9%,-84,4.5%,0.1%,2008,2016,--
2,Indian Prairie Unit Dist. 204,Waubonsie Valley H.S.*,247,191,179,168,166,176,180,188,188,115,-53.4%,-132,-38.8%,-33.5%,2008,2016,Decline due in part to new school opening within district.
3,Crystal Lake HS Dist. 155,Prairie Ridge H.S.,175,148,144,146,139,142,118,115,112,89,-49.1%,-86,-20.5%,-13.7%,2008,2016,--
4,Crystal Lake HS Dist. 155,Crystal Lake Central H.S.,137,140,131,139,154,125,123,106,94,75,-45.3%,-62,-20.2%,3.6%,2008,2016,--
5,Crystal Lake HS Dist. 155,Crystal Lake South H.S.,191,191,181,167,179,181,149,134,130,106,-44.5%,-85,-18.5%,-23.3%,2008,2016,--
6,Wheaton Warrenville Dist. 200,Wheaton Warrenville South H S,257,233,228,230,203,182,187,189,163,149,-42.0%,-108,-8.6%,-16.3%,2008,2016,--
7,Valley View Unit Dist. 365,Romeoville H.S.,143,140,119,114,104,89,119,94,106,83,-42.0%,-60,-21.7%,9.4%,2008,2016,--
8,Lake Zurich Unit Dist. 95,Lake Zurich H.S.,188,133,173,191,167,160,143,146,153,117,-37.8%,-71,-23.5%,-12.4%,2008,2016,--
9,Indian Prairie Unit Dist. 204,Neuqua Valley H.S.*,254,241,239,243,221,227,228,194,171,162,-36.2%,-92,-5.3%,-21.0%,2008,2016,Decline due in part to new school opening within district.
10,Lincoln-Way HS Dist. 210,Lincoln-Way Central H.S.*,240,147,152,166,154,170,171,152,154,155,-35.4%,-85,0.6%,-30.1%,2008,2016,Decline due in part to new school opening within district.
11,Elmhurst Unit Dist. 205,York Comm.H.S.,228,220,203,192,183,152,178,173,157,150,-34.2%,-78,-4.5%,5.3%,2008,2016,--
12,Wheaton Warrenville Dist. 200,Wheaton North H.S.,211,204,152,193,159,174,179,190,172,139,-34.1%,-72,-19.2%,-1.3%,2008,2016,--
13,Orland Park HS Dist. 230,Sandburg H.S.,214,208,193,223,219,183,183,180,147,143,-33.2%,-71,-2.7%,-19.8%,2008,2016,--
14,Community Unit Dist. 300,Jacobs H.S.,151,125,109,140,144,133,152,114,98,101,-33.1%,-50,3.1%,-11.8%,2008,2016,--
15,DuPage HS Dist. 88,Willowbrook H.S.,149,157,147,129,125,143,165,128,98,102,-31.5%,-47,4.1%,-8.3%,2008,2016,--
16,Northwest HS Dist. 214,Wheeling H.S.,124,130,125,130,89,105,106,101,75,85,-31.5%,-39,13.3%,-7.6%,2008,2016,--
17,Palatine-Schaumburg HS Dist. 211,Fremd H.S.,194,173,198,169,169,201,150,136,146,133,-31.4%,-61,-8.9%,-6.5%,2008,2016,--
18,Grayslake HS Dist. 127,Grayslake North H.S.*,156,150,121,134,144,139,143,122,118,107,-31.4%,-49,-9.3%,2.7%,2008,2016,Decline due in part to new school opening within district.
19,Naperville Unit Dist. 203,Naperville Central H.S.,250,264,242,255,226,206,214,196,193,173,-30.8%,-77,-10.4%,-6.0%,2008,2016,--
20,Antioch HS Dist. 117,Lakes Comm. H.S.,145,142,130,152,160,153,157,136,126,101,-30.3%,-44,-19.8%,-0.6%,2008,2016,--
21,Downers Grove HS Dist. 99,Downers Grove South H.S.,220,248,188,174,197,183,184,170,160,154,-30.0%,-66,-3.8%,-15.9%,2008,2016,--
22,Glenbard HS Dist. 87,Glenbard South H.S.,142,145,130,117,98,118,123,109,103,100,-29.6%,-42,-2.9%,-18.2%,2008,2016,--
23,Crystal Lake HS Dist. 155,Cary-Grove Comm. H.S.,149,146,149,132,179,137,124,118,118,105,-29.5%,-44,-11.0%,-8.0%,2008,2016,--
24,Palatine-Schaumburg HS Dist. 211,Conant H.S.,173,172,168,161,157,140,146,144,113,122,-29.5%,-51,8.0%,-7.7%,2008,2016,--
25,Bremen HS Dist. 228,Oak Forest H.S.,170,167,157,158,155,157,138,106,97,120,-29.4%,-50,23.7%,-10.7%,2008,2016,--
26,Grayslake HS Dist. 127,Grayslake Central H.S.*,--,--,132,117,122,115,107,90,83,94,-28.8%,-38,13.3%,4.5%,2010,2016,Schools did not have 10 years worth of player data because they either hadn't opened or closed during the researched time period.
27,Valley View Unit Dist. 365,Bolingbrook H.S.,228,217,184,159,177,185,179,176,146,163,-28.5%,-65,11.6%,-1.3%,2008,2016,--
28,Maine Township HS Dist. 207,Maine South H.S.,213,205,201,110,175,200,166,167,166,153,-28.2%,-60,-7.8%,-6.8%,2008,2016,--
29,St. Charles Unit Dist. 303,St Charles North H.S.,184,177,165,186,159,148,162,165,129,133,-27.7%,-51,3.1%,-7.2%,2008,2016,--
30,Bremen HS Dist. 228,Tinley Park H.S.,124,131,128,125,107,111,108,106,92,90,-27.4%,-34,-2.2%,-5.5%,2008,2016,--
31,Bremen HS Dist. 228,Hillcrest H.S.,137,117,99,92,98,104,89,103,81,100,-27.0%,-37,23.5%,-9.0%,2008,2016,--
32,Naperville Unit Dist. 203,Naperville North H.S.,235,228,200,240,223,241,213,218,200,172,-26.8%,-63,-14.0%,-12.1%,2008,2016,--
33,Elgin Area Dist. U-46,Streamwood H.S.,101,96,87,93,91,112,114,110,88,74,-26.7%,-27,-15.9%,-13.0%,2008,2016,--
34,Northwest HS Dist. 214,Rolling Meadows H.S.,151,158,142,108,139,127,134,143,142,112,-25.8%,-39,-21.1%,3.7%,2008,2016,--
35,Glenbard HS Dist. 87,Glenbard East H.S.,189,178,148,143,171,146,148,152,133,141,-25.4%,-48,6.0%,-12.1%,2008,2016,--
36,Warren HS Dist. 121,Warren Twp. H.S.,211,217,213,224,216,183,200,188,171,158,-25.1%,-53,-7.6%,1.1%,2008,2016,--
37,Barrington Unit Dist. 220,Barrington H.S.,245,202,203,215,216,218,217,166,169,185,-24.5%,-60,9.5%,0.1%,2008,2016,--
38,Glenbard HS Dist. 87,Glenbard North H.S.,206,216,211,178,182,201,188,175,151,156,-24.3%,-50,3.3%,-17.4%,2008,2016,--
39,Batavia Unit Dist. 101,Batavia Sr H.S.,215,184,168,167,189,186,159,170,156,163,-24.2%,-52,4.5%,3.2%,2008,2016,--
